user,churn,age,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,left_for_two_month_plus,left_for_one_month,reward_rate,is_referred,R,na,Monthly,Semi-Monthly,Weekly,na_payment_type,credit_score
10539,1,39.0,0,0,8,0,0,23,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0.13,0,0,1,0,0,0,0,555.0
8143,0,32.0,0,0,59,0,2,289,0,0,14,1,1,1,1,0,0,0,0,0,0,0,0,2.23,1,1,0,0,0,0,1,503.0
21204,1,25.0,14,5,23,14,0,43,0,0,11,1,0,0,1,0,0,0,0,0,0,0,0,0.37,1,0,1,0,0,0,0,506.0
46727,0,21.0,11,2,53,11,0,145,0,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0.93,0,1,0,0,0,0,0,560.0
36721,1,30.0,1,1,48,1,0,224,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1.77,1,0,0,0,0,0,0,604.0
989,0,26.0,0,0,0,0,0,57,0,0,5,1,1,1,1,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,1,575.0
8508,0,33.0,0,0,116,0,0,205,0,0,7,1,1,1,1,0,0,0,0,0,0,0,0,2.03,1,1,0,0,0,0,0,475.0
50946,1,30.0,0,0,0,0,0,16,0,0,1,1,1,1,1,0,2,0,0,0,0,0,1,0.47,0,0,1,0,0,0,0,537.0
65668,1,42.0,0,0,5,0,0,50,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.47,0,1,0,0,0,0,1,476.0
50130,1,34.0,0,0,0,0,0,27,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0.67,0,0,1,0,0,1,0,473.0
55422,0,26.0,10,0,37,10,0,77,0,0,4,1,0,0,1,1,5,0,0,0,0,0,0,0.67,1,1,0,0,1,0,0,527.0
42253,0,30.0,13,0,89,12,0,257,0,0,44,1,1,1,0,1,0,0,0,0,0,0,0,2.17,0,1,0,0,0,0,0,595.0
41211,0,20.0,3,0,63,3,0,107,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,1.23,0,1,0,0,0,0,0,523.0
259,1,23.0,0,0,0,0,0,145,1,0,19,1,1,1,0,1,0,0,0,0,0,0,0,1.7,0,0,1,0,0,0,0,452.0
3885,0,48.0,0,0,0,0,0,187,0,0,11,1,0,0,1,0,0,0,0,0,0,0,0,1.87,1,0,1,1,0,0,0,511.0
40538,1,35.0,0,0,0,0,0,36,0,0,15,1,0,0,0,1,0,0,0,0,0,0,0,2.0,1,0,0,1,0,0,0,728.0
1011,0,46.0,7,2,57,7,0,168,0,0,24,1,1,1,0,1,0,0,0,0,0,1,0,1.1,0,1,0,0,0,0,0,494.0
38492,0,34.0,0,0,0,0,1,222,9,0,24,1,1,1,1,0,0,0,0,0,0,0,0,2.1,0,1,0,0,0,0,0,490.0
68171,0,23.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.06,0,0,1,0,0,0,0,521.0
19878,0,28.0,17,1,82,17,0,233,0,0,18,1,1,1,0,1,0,0,0,0,0,0,0,1.93,0,1,0,0,0,0,1,582.0
8255,0,43.0,3,0,81,3,0,225,0,0,4,1,1,1,1,1,2,0,0,0,0,0,0,1.97,1,1,0,0,0,0,1,540.0
51642,0,44.0,0,0,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0,0,501.0
17451,0,33.0,0,0,140,0,0,303,0,0,20,1,1,1,0,1,0,0,0,0,0,1,0,2.23,0,1,0,0,0,0,0,597.0
46324,0,18.0,0,0,0,0,0,3,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,611.0
15712,1,60.0,0,0,0,0,0,44,0,0,18,1,1,1,1,0,0,0,0,0,0,0,0,0.63,1,1,0,1,0,0,0,529.0
36751,0,39.0,24,1,69,24,0,218,0,0,29,1,1,1,0,1,0,0,0,0,0,0,0,1.87,1,0,1,0,0,0,1,529.0
21558,1,35.0,0,0,0,0,0,66,0,0,2,1,1,1,1,0,0,0,0,0,0,1,0,0.63,0,0,1,0,0,0,0,618.0
41909,0,32.0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,466.0
38825,0,26.0,0,0,36,0,0,99,0,0,3,1,1,1,0,1,0,0,0,0,0,0,0,1.23,0,0,1,0,0,0,1,536.0
7871,1,26.0,1,0,27,1,0,133,0,0,3,1,0,0,0,1,3,0,0,0,0,0,0,1.33,0,1,0,0,0,1,0,500.0
22333,0,24.0,3,1,82,3,0,177,0,0,13,1,0,0,0,1,0,0,0,0,0,0,0,1.87,0,1,0,0,0,0,0,679.0
19314,1,38.0,0,0,0,0,0,17,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.4,1,0,1,0,0,0,0,524.0
14311,0,32.0,24,6,36,24,0,116,0,0,21,1,1,1,1,1,2,0,0,0,0,0,0,0.97,1,1,0,0,0,0,0,500.0
67046,0,47.0,0,0,1,0,0,4,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0.0,1,0,1,0,0,0,0,522.0
24305,0,26.0,1,0,56,1,0,217,0,0,15,1,0,0,0,1,2,0,0,0,0,0,0,1.8,1,1,0,0,0,0,1,556.0
42987,0,26.0,0,0,31,0,0,50,0,0,5,1,0,0,1,0,2,0,0,0,0,0,0,0.67,1,0,1,0,0,0,0,559.0
26916,0,33.0,0,0,32,0,0,60,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0.8,1,0,1,0,0,0,0,556.0
7011,1,35.0,0,0,102,0,0,136,0,0,8,1,1,1,1,0,0,0,0,0,0,0,0,1.17,1,0,1,0,0,0,0,413.0
67088,1,22.0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,459.0
7686,1,27.0,0,0,10,0,0,91,0,0,7,1,1,1,0,1,0,0,0,0,0,0,0,0.8,0,1,0,0,0,0,0,528.0
14965,0,27.0,0,0,7,0,0,11,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.2,0,0,1,0,0,0,0,544.0
13910,0,24.0,2,2,50,2,0,100,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,1.03,1,1,0,0,0,0,1,522.0
33946,0,21.0,0,0,7,0,0,11,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,1,0,1,1,0,0,0,545.0
23701,0,25.0,2,0,22,2,0,15,0,0,2,1,1,1,0,1,2,0,0,0,0,1,0,0.27,1,1,0,0,0,0,0,485.0
15150,1,26.0,10,1,14,10,0,40,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.4,0,1,0,0,0,0,1,545.0
8987,0,27.0,0,0,1,0,0,83,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1.1,1,1,0,0,0,1,0,481.0
41826,1,22.0,9,2,107,9,0,170,0,0,32,1,1,1,0,1,0,0,0,0,0,0,0,1.3,1,1,0,0,0,0,0,440.0
5250,0,52.0,0,0,40,0,0,70,0,0,6,1,1,1,1,0,0,0,0,0,0,0,0,0.93,0,0,1,0,1,0,0,543.0
27912,0,25.0,0,0,25,0,0,41,0,0,4,1,1,1,0,1,0,0,0,0,0,0,0,0.4,1,0,1,0,0,0,1,413.0
19625,0,32.0,0,0,23,0,0,50,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.37,0,0,1,0,0,0,0,441.0
30614,0,30.0,41,0,27,41,0,207,0,0,4,1,1,1,0,1,0,0,0,0,0,0,0,1.87,1,0,1,0,0,1,0,461.0
18574,1,23.0,6,4,59,6,0,159,0,0,11,1,1,1,0,1,2,0,0,0,0,0,0,1.86,1,1,0,0,0,0,0,636.0
26736,0,26.0,5,1,93,5,0,252,0,0,11,1,0,0,0,1,0,0,0,0,0,0,0,2.17,1,1,0,0,0,0,1,607.0
49664,1,26.0,3,0,38,3,0,84,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,1.0,1,1,0,0,0,0,1,545.0
21189,0,20.0,1,0,72,1,0,140,0,0,18,1,1,1,0,1,0,0,0,0,0,0,0,1.03,1,1,0,0,0,0,0,555.0
43289,0,32.0,6,0,24,6,0,45,0,0,9,1,1,1,0,1,0,0,0,0,0,0,0,0.58,0,0,1,0,0,0,1,545.0
30329,1,45.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0.1,0,1,0,0,0,0,0,552.0
6111,0,25.0,0,0,67,0,0,250,0,0,10,1,1,1,0,1,0,0,0,0,0,1,0,2.03,0,0,0,0,0,0,0,614.0
35351,0,35.0,15,0,3,15,1,300,0,0,34,1,1,1,0,1,0,0,0,0,0,0,0,2.17,0,1,0,0,0,0,0,528.0
11691,1,22.0,0,0,0,0,0,128,0,0,4,1,1,1,1,0,2,0,0,1,0,0,0,1.5699999999999998,0,0,1,0,0,0,0,555.0
38853,0,28.0,59,0,63,55,0,255,0,0,21,1,1,1,0,1,0,0,0,0,0,0,0,2.23,0,0,1,0,0,0,0,527.0
55927,0,20.0,0,0,5,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.27,1,0,1,0,1,0,0,501.0
34187,1,30.0,0,0,34,0,0,59,0,0,2,1,0,0,0,1,2,0,0,0,0,0,0,0.63,1,1,0,0,0,1,0,580.0
45320,0,40.0,8,0,52,8,0,294,0,0,38,1,1,1,1,0,0,0,0,0,0,1,0,2.23,0,0,0,0,0,0,1,453.0
30417,1,27.0,1,0,13,1,0,27,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.1699999999999999,1,0,0,0,0,0,0,522.0
15592,1,36.0,0,0,0,0,0,235,0,1,9,1,1,1,1,1,2,0,0,0,0,0,0,2.13,0,1,0,0,0,0,0,587.0
68714,0,36.0,0,0,8,0,0,16,0,0,0,1,1,1,1,0,2,0,0,0,0,0,0,0.13,0,1,0,0,0,0,0,590.0
51721,1,30.0,2,0,62,2,0,99,0,0,16,1,1,1,1,0,0,0,0,0,0,0,0,0.63,1,1,0,0,0,0,0,437.0
3801,0,42.0,2,0,47,2,0,280,0,0,24,1,1,1,1,0,2,0,0,0,0,1,0,1.87,1,1,0,0,0,0,1,512.0
65867,0,72.0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,554.0
50736,1,23.0,0,0,12,0,0,11,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0.4,1,0,1,0,0,0,0,463.0
35050,1,39.0,8,3,76,8,0,163,0,0,12,1,0,0,1,0,0,0,0,0,0,0,0,0.53,1,1,0,0,0,1,0,463.0
3897,1,38.0,0,0,0,0,0,20,0,0,9,1,1,1,1,0,0,0,0,0,0,0,0,0.77,0,1,0,1,0,0,0,472.0
34000,1,38.0,0,0,0,0,0,22,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0.5700000000000001,0,0,1,0,0,0,0,550.0
4993,0,37.0,0,0,0,0,1,236,4,1,19,1,1,1,1,1,2,0,0,0,0,0,0,2.1,0,1,0,0,0,0,0,587.0
24606,0,20.0,0,0,47,0,0,148,0,0,11,1,0,0,0,1,0,0,0,0,0,0,0,1.13,0,0,1,0,0,0,0,655.0
47068,1,56.0,1,0,37,1,0,81,0,0,5,1,1,1,1,0,2,0,0,0,0,1,0,0.53,1,0,1,0,0,1,0,511.0
13611,0,19.0,1,0,102,1,0,219,0,0,9,1,1,1,1,1,5,0,0,0,0,0,0,1.93,1,1,0,0,0,0,1,503.0
59843,1,48.0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0.0,0,0,1,0,0,1,0,517.0
41052,1,39.0,2,0,1,2,0,82,0,0,9,1,0,0,0,1,0,0,0,0,0,1,0,0.47,1,0,1,0,0,0,0,490.0
45396,0,39.0,0,0,7,0,0,36,0,0,9,1,1,1,1,0,0,0,0,0,0,0,0,0.73,0,0,1,0,0,0,0,611.0
40888,0,24.0,0,0,35,0,0,57,0,0,2,1,0,0,1,0,3,0,0,0,0,1,0,0.83,0,0,1,0,0,0,0,498.0
14403,1,39.0,0,0,0,0,0,201,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,2.5,0,0,1,0,0,0,0,535.0
22597,0,29.0,7,2,52,7,0,71,0,0,12,1,1,1,0,1,0,0,0,0,0,1,0,0.73,0,1,0,0,1,0,0,601.0
42157,0,21.0,0,0,0,0,0,54,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,1,0,1,0,0,622.0
31150,1,32.0,0,0,0,0,0,134,0,0,4,1,1,1,0,1,0,0,0,0,0,0,0,1.37,0,1,0,0,0,0,1,525.0
17918,1,41.0,0,0,0,0,0,55,0,0,9,1,1,1,1,0,2,0,0,0,0,0,0,0.8,0,1,0,0,0,0,0,554.0
20243,1,42.0,21,3,31,21,0,60,0,0,15,1,1,1,1,1,2,0,0,0,0,0,0,0.8,1,1,0,0,0,1,0,550.0
42283,0,29.0,0,0,0,0,0,180,0,0,16,1,1,1,1,0,0,0,0,1,0,0,0,2.27,0,0,0,0,0,1,0,578.0
52613,0,21.0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,701.0
32820,1,39.0,12,1,8,12,2,147,65,0,24,1,1,1,1,0,0,0,0,0,0,0,0,1.47,1,1,0,0,0,1,0,522.0
725,0,40.0,3,0,148,3,0,269,0,0,17,1,0,0,1,0,0,0,0,0,0,0,0,2.13,0,1,0,0,0,1,0,614.0
46856,0,22.0,6,1,198,6,0,301,0,0,61,1,1,1,0,1,0,0,0,0,0,1,0,2.17,0,1,0,0,0,0,0,652.0
61439,0,21.0,0,0,5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0.1,0,1,0,0,0,0,0,570.0
27152,0,52.0,1,1,24,1,0,78,0,0,8,1,0,0,1,0,2,0,0,0,0,0,0,0.77,0,0,1,0,0,0,0,509.0
2572,0,27.0,0,0,172,0,0,217,0,0,10,1,1,1,1,0,0,0,0,0,0,0,1,1.4300000000000002,1,1,0,0,0,0,0,567.0
51797,0,23.0,2,0,15,2,0,10,0,0,4,1,0,0,0,1,3,0,0,0,0,0,0,0.1,0,0,1,1,0,0,0,516.0
56605,1,28.0,8,0,20,8,0,51,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0.53,1,1,0,0,0,1,0,448.0
32867,0,57.0,54,0,69,54,0,249,0,0,36,1,1,1,1,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,1,0,624.0
50443,0,50.0,5,0,71,5,0,136,0,0,5,1,0,0,0,1,2,0,0,0,0,0,0,1.0,1,0,1,0,0,0,0,498.0
42188,1,29.0,1,1,12,1,0,31,0,0,4,1,1,1,1,0,3,0,0,0,0,1,0,0.0699999999999999,0,0,1,0,0,1,0,476.0
29143,1,37.0,4,0,17,4,0,145,0,0,11,1,0,0,1,0,0,0,0,1,0,0,0,1.4,0,0,0,0,0,0,0,556.0
51263,1,30.0,16,1,69,16,0,151,0,0,8,1,1,1,0,1,0,0,0,0,0,0,0,1.3,1,1,0,0,0,0,1,503.0
37159,0,22.0,0,0,0,0,0,6,0,0,2,1,0,0,1,0,2,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,535.0
2601,0,42.0,0,0,42,0,0,179,0,0,14,1,1,1,0,1,0,0,0,0,0,1,0,1.4300000000000002,1,1,0,0,0,1,0,486.0
9454,1,25.0,16,3,23,16,0,76,0,0,14,1,0,0,0,1,0,0,0,0,0,0,0,0.5700000000000001,1,1,0,0,0,0,1,490.0
13207,1,22.0,0,0,0,0,0,111,0,0,11,1,1,1,0,1,0,0,0,0,0,0,0,1.3,0,0,1,0,0,0,0,521.0
43818,0,43.0,0,0,0,0,0,109,0,0,10,1,1,1,0,1,3,0,0,0,0,0,0,1.5,0,0,0,0,1,0,0,552.0
33990,0,33.0,49,4,56,49,0,263,0,0,7,1,1,1,0,1,0,0,0,0,0,0,1,1.9,0,0,0,0,0,0,0,554.0
38562,0,35.0,1,0,70,1,0,260,0,0,20,1,1,1,0,1,2,0,0,0,0,0,0,2.0,1,1,0,0,0,0,0,460.0
10006,0,27.0,10,1,93,10,0,154,0,0,24,1,1,1,0,1,0,0,0,0,0,0,0,1.13,1,1,0,0,0,1,0,399.0
67144,1,23.0,1,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0,561.0
19296,1,30.0,0,0,0,0,0,226,0,0,21,1,1,1,0,1,2,0,0,0,0,0,0,2.2,0,0,0,0,1,0,0,458.0
49950,0,19.0,0,0,0,0,0,219,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,2.3,0,0,1,0,0,0,0,632.0
22223,1,25.0,2,0,2,2,0,15,0,0,1,1,1,1,1,0,2,0,1,0,0,0,0,0.03,1,0,0,1,0,0,0,518.0
42800,1,23.0,0,0,0,0,0,10,0,0,2,1,0,0,1,1,2,0,0,0,0,0,0,0.13,0,0,1,0,0,1,0,479.0
12135,1,43.0,0,0,0,0,0,73,0,0,13,1,1,1,0,1,2,0,0,0,0,0,0,1.2,0,0,1,0,0,0,0,552.0
58742,0,26.0,6,0,10,6,0,5,0,0,3,1,1,1,0,1,0,0,0,0,0,1,0,0.4,0,0,1,1,0,0,0,524.0
3148,0,24.0,6,0,163,6,0,290,0,0,44,1,1,1,0,1,0,0,0,0,0,1,0,2.23,0,1,0,0,0,0,1,654.0
7130,0,20.0,0,0,5,0,0,15,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0,0,687.0
46266,0,22.0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,1,0,0.0,0,0,1,0,0,1,0,579.0
49735,1,26.0,0,0,0,0,0,8,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0.33,0,0,1,0,0,0,1,531.0
16514,0,26.0,0,0,0,0,2,206,0,0,22,1,1,1,0,1,0,0,0,0,0,0,0,2.23,0,1,0,0,0,0,1,591.0
131,0,32.0,10,0,0,10,1,192,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,1.63,1,1,0,0,0,0,0,413.0
7310,1,46.0,1,0,2,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.0,0,1,0,0,0,1,0,481.0
51090,1,21.0,0,0,1,0,0,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,1,514.0
16690,0,30.0,0,0,146,0,0,137,0,0,11,1,0,0,1,0,0,0,0,0,0,1,0,1.23,1,0,0,0,0,1,0,548.0
54826,0,36.0,0,0,13,0,0,24,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0.2,1,0,1,0,0,0,1,431.0
42814,1,36.0,0,0,4,0,0,158,0,0,34,1,1,1,1,0,2,0,0,0,0,0,0,0.9,1,1,0,0,1,0,0,504.0
48148,1,22.0,0,0,17,0,0,49,0,0,2,1,0,0,0,1,2,0,0,0,0,0,0,0.74,0,0,1,0,0,0,0,627.0
55262,1,42.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,470.0
48511,1,30.0,4,0,0,4,0,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.33,0,0,1,0,0,0,0,526.0
8593,0,26.0,0,0,0,0,0,141,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,2.0,0,1,0,0,0,1,0,573.0
45233,1,26.0,0,0,0,0,1,164,0,1,6,1,0,0,0,1,0,0,0,0,0,0,0,1.37,0,1,0,0,1,0,0,589.0
7405,1,31.0,0,0,0,0,0,199,0,0,13,1,1,1,0,1,2,0,0,0,0,0,0,1.17,0,1,0,0,0,0,0,528.0
47074,1,36.0,60,4,120,60,0,291,0,0,27,1,1,1,0,1,0,0,0,0,0,1,0,2.23,1,1,0,1,0,0,0,657.0
23353,0,36.0,10,0,92,10,0,189,0,0,7,1,1,1,0,1,0,0,0,0,0,0,0,1.63,0,1,0,1,0,0,0,595.0
45357,0,45.0,0,0,26,0,0,49,0,0,12,1,1,1,0,1,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,574.0
42881,0,31.0,11,1,34,11,0,51,0,0,17,1,1,1,1,0,2,0,0,0,0,0,0,0.8,1,0,0,0,0,0,0,572.0
34395,0,48.0,0,0,0,0,4,229,4,27,36,1,1,1,1,0,0,0,0,0,0,0,0,2.1,0,1,0,0,0,0,1,652.0
20848,0,21.0,0,0,46,0,0,118,0,0,5,1,0,0,0,1,0,0,1,0,0,0,0,1.5699999999999998,1,1,0,0,0,0,0,528.0
63704,1,26.0,1,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.43,0,0,1,1,0,0,0,500.0
3300,0,35.0,0,0,33,0,0,55,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0.6,1,0,1,0,1,0,0,534.0
10745,0,47.0,10,0,17,10,0,48,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,1,0,474.0
34485,0,36.0,14,1,18,14,0,77,0,0,7,1,1,1,1,0,0,0,0,0,0,0,0,0.85,0,0,1,0,0,0,1,505.0
25822,1,29.0,1,1,12,1,0,81,0,0,8,1,1,1,1,1,3,0,0,0,0,0,0,0.53,1,1,0,0,0,0,0,539.0
45279,1,41.0,0,0,0,0,0,232,0,0,13,1,0,0,1,0,0,0,0,0,0,0,0,2.77,1,1,0,0,0,1,0,491.0
